gage,NP,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1379530,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1382500,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1388000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1395000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1398000,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
1401650,1,,,,,,,,,,,,,,,,,,,,,,,,
